label,assumed_prior_sd,shrinkage,rmse,ship_rate,ship_count,precision,mean_true_lift_shipped,mean_claimed_lift_shipped,winner_curse_ratio
flat,,1.0,0.009995716059654203,0.12216666666666667,36650,0.9410095497953616,0.011772971334078359,0.02348692667386486,1.9949871623214586
informative,0.003333333333,0.09999999998199999,0.009049100838822112,0.00015333333333333334,46,1.0,0.02765750452269225,0.05512738180043292,1.9932160457644457
informative,0.005,0.2,0.008239846520726664,0.00467,1401,0.9992862241256245,0.020802288342461586,0.04140735607955876,1.9905192831616585
correct,0.01,0.5,0.00706491495512945,0.050043333333333335,15013,0.9772863518284154,0.014624793522892235,0.029234084987876073,1.9989400152635228
informative,0.02,0.8,0.00824124406765384,0.09695,29085,0.9539969056214543,0.012560745267420815,0.025072670005453962,1.996113245802835
informative,0.05,0.9615384615384616,0.009618682760069903,0.11752666666666667,35258,0.9434738215440467,0.01191124246197356,0.023758297460131448,1.9946111865306586
