threshold,false_positive,power,average_h0_stop_given_stop,average_h1_stop_given_stop
0.8,"{""count"": 30207, ""total"": 60000, ""rate"": 0.50345, ""ci95"": [0.49944924269360896, 0.507450315566908]}","{""count"": 54368, ""total"": 60000, ""rate"": 0.9061333333333333, ""ci95"": [0.9037736742539445, 0.9084409909261407]}",3.337272817558844,3.2010005885815187
0.85,"{""count"": 24773, ""total"": 60000, ""rate"": 0.4128833333333333, ""ci95"": [0.408949467028058, 0.41682835409405683]}","{""count"": 51769, ""total"": 60000, ""rate"": 0.8628166666666667, ""ci95"": [0.8600405800987595, 0.8655462980326126]}",3.560933274129092,3.6056713477177462
0.9,"{""count"": 18646, ""total"": 60000, ""rate"": 0.3107666666666667, ""ci95"": [0.30707571724359617, 0.3144818456070815]}","{""count"": 47608, ""total"": 60000, ""rate"": 0.7934666666666667, ""ci95"": [0.7902087719002934, 0.7966869858348896]}",3.8109514104901856,4.152054276592169
0.925,"{""count"": 14974, ""total"": 60000, ""rate"": 0.24956666666666666, ""ci95"": [0.2461200178019889, 0.2530453811229963]}","{""count"": 44447, ""total"": 60000, ""rate"": 0.7407833333333333, ""ci95"": [0.7372616929988828, 0.7442741436662802]}",3.9805663149459063,4.492384187909195
0.95,"{""count"": 10953, ""total"": 60000, ""rate"": 0.18255, ""ci95"": [0.1794793910833397, 0.18566125535112005]}","{""count"": 39789, ""total"": 60000, ""rate"": 0.66315, ""ci95"": [0.6593578785280835, 0.6669212316757845]}",4.185519948872455,4.9476739802457965
0.975,"{""count"": 6177, ""total"": 60000, ""rate"": 0.10295, ""ci95"": [0.10054375394258998, 0.10540708451008683]}","{""count"": 31676, ""total"": 60000, ""rate"": 0.5279333333333334, ""ci95"": [0.523937161001895, 0.5319259290687641]}",4.442447790189412,5.583912110114913
0.99,"{""count"": 2791, ""total"": 60000, ""rate"": 0.046516666666666664, ""ci95"": [0.04486037301171305, 0.048231024522555656]}","{""count"": 22161, ""total"": 60000, ""rate"": 0.36935, ""ci95"": [0.3654967149048368, 0.3732200135773247]}",4.657470440702257,6.274175353097784
0.995,"{""count"": 1478, ""total"": 60000, ""rate"": 0.024633333333333333, ""ci95"": [0.02342315771654687, 0.025904375102461998]}","{""count"": 16206, ""total"": 60000, ""rate"": 0.2701, ""ci95"": [0.26656203682637036, 0.273667399668455]}",4.852503382949933,6.683512279402691
